Date,Product,Region,Quantity_Sold,Stock_Level
2023-02-27,Product_A,North,120,211
2023-02-28,Product_A,North,129,180
2023-03-01,Product_A,North,141,211
2023-03-02,Product_A,North,154,209
2023-03-03,Product_A,North,118,198
2023-03-04,Product_A,North,84,142
2023-03-05,Product_A,North,92,152
2023-03-06,Product_A,North,96,194
2023-03-07,Product_A,North,131,174
2023-03-08,Product_A,North,118,215
2023-03-09,Product_A,North,146,234
2023-03-10,Product_A,North,164,179
2023-03-11,Product_A,North,88,114
2023-03-12,Product_A,North,112,145
2023-03-13,Product_A,North,115,171
2023-03-14,Product_A,North,134,227
2023-03-15,Product_A,North,144,208
2023-03-16,Product_A,North,110,163
2023-03-17,Product_A,North,106,171
2023-03-18,Product_A,North,133,160
2023-03-19,Product_A,North,125,153
2023-03-20,Product_A,North,101,166
2023-03-21,Product_A,North,123,249
2023-03-22,Product_A,North,124,229
2023-03-23,Product_A,North,114,216
2023-03-24,Product_A,North,122,170
2023-03-25,Product_A,North,105,145
2023-03-26,Product_A,North,116,155
2023-03-27,Product_A,North,101,160
2023-03-28,Product_A,North,142,239
2023-03-29,Product_A,North,145,211
2023-03-30,Product_A,North,138,224
2023-03-31,Product_A,North,120,166
2023-04-01,Product_A,North,123,167
2023-04-02,Product_A,North,135,168
2023-04-03,Product_A,North,101,159
2023-04-04,Product_A,North,173,242
2023-04-05,Product_A,North,138,206
2023-04-06,Product_A,North,161,176
2023-04-07,Product_A,North,100,187
2023-04-08,Product_A,North,99,159
2023-04-09,Product_A,North,106,171
2023-04-10,Product_A,North,150,188
2023-04-11,Product_A,North,152,166
2023-04-12,Product_A,North,141,196
2023-04-13,Product_A,North,107,180
2023-04-14,Product_A,North,110,192
2023-04-15,Product_A,North,84,159
2023-04-16,Product_A,North,101,157
2023-04-17,Product_A,North,142,196
2023-04-18,Product_A,North,165,203
2023-04-19,Product_A,North,126,207
2023-04-20,Product_A,North,136,200
2023-04-21,Product_A,North,96,174
2023-04-22,Product_A,North,108,207
2023-04-23,Product_A,North,139,145
2023-04-24,Product_A,North,117,154
2023-04-25,Product_A,North,124,211
2023-04-26,Product_A,North,165,195
2023-04-27,Product_A,North,117,152
2023-04-28,Product_A,North,111,150
2023-04-29,Product_A,North,95,138
2023-04-30,Product_A,North,105,126
2023-05-01,Product_A,North,94,224
2023-05-02,Product_A,North,109,181
2023-05-03,Product_A,North,177,266
2023-05-04,Product_A,North,106,185
2023-05-05,Product_A,North,118,203
2023-05-06,Product_A,North,87,149
2023-05-07,Product_A,North,118,167
2023-05-08,Product_A,North,113,177
2023-05-09,Product_A,North,106,195
2023-05-10,Product_A,North,131,210
2023-05-11,Product_A,North,116,200
2023-05-12,Product_A,North,128,170
2023-05-13,Product_A,North,106,153
2023-05-14,Product_A,North,104,142
2023-05-15,Product_A,North,123,175
2023-05-16,Product_A,North,173,229
2023-05-17,Product_A,North,142,187
2023-05-18,Product_A,North,104,211
2023-05-19,Product_A,North,113,173
2023-05-20,Product_A,North,73,168
2023-05-21,Product_A,North,109,131
2023-05-22,Product_A,North,107,179
2023-05-23,Product_A,North,130,188
2023-05-24,Product_A,North,130,193
2023-05-25,Product_A,North,125,213
2023-05-26,Product_A,North,66,156
2023-05-27,Product_A,North,100,152
2023-05-28,Product_A,North,95,116
2023-05-29,Product_A,North,119,205
2023-05-30,Product_A,North,97,207
2023-05-31,Product_A,North,123,193
2023-06-01,Product_A,North,101,173
2023-06-02,Product_A,North,125,169
2023-06-03,Product_A,North,120,166
2023-06-04,Product_A,North,105,182
2023-06-05,Product_A,North,118,183
2023-06-06,Product_A,North,118,187
2023-06-07,Product_A,North,113,209
2023-06-08,Product_A,North,96,191
2023-06-09,Product_A,North,99,177
2023-06-10,Product_A,North,103,176
2023-06-11,Product_A,North,106,112
2023-06-12,Product_A,North,107,139
2023-06-13,Product_A,North,111,211
2023-06-14,Product_A,North,135,171
2023-06-15,Product_A,North,96,172
2023-06-16,Product_A,North,81,136
2023-06-17,Product_A,North,95,159
2023-06-18,Product_A,North,102,102
2023-06-19,Product_A,North,110,160
2023-06-20,Product_A,North,125,208
2023-06-21,Product_A,North,83,168
2023-06-22,Product_A,North,121,135
2023-06-23,Product_A,North,118,153
2023-06-24,Product_A,North,99,121
2023-06-25,Product_A,North,102,158
2023-06-26,Product_A,North,106,158
2023-06-27,Product_A,North,119,154
2023-06-28,Product_A,North,114,172
2023-06-29,Product_A,North,114,182
2023-06-30,Product_A,North,79,139
2023-07-01,Product_A,North,105,114
2023-07-02,Product_A,North,77,136
2023-07-03,Product_A,North,112,150
2023-07-04,Product_A,North,133,183
2023-07-05,Product_A,North,127,181
2023-07-06,Product_A,North,141,153
2023-07-07,Product_A,North,64,169
2023-07-08,Product_A,North,77,127
2023-07-09,Product_A,North,102,102
2023-07-10,Product_A,North,78,113
2023-07-11,Product_A,North,95,170
2023-07-12,Product_A,North,118,170
2023-07-13,Product_A,North,80,106
2023-07-14,Product_A,North,89,124
2023-07-15,Product_A,North,86,135
2023-07-16,Product_A,North,85,140
2023-07-17,Product_A,North,97,151
2023-07-18,Product_A,North,93,153
2023-07-19,Product_A,North,110,176
2023-07-20,Product_A,North,93,158
2023-07-21,Product_A,North,83,127
2023-07-22,Product_A,North,88,88
2023-07-23,Product_A,North,65,91
2023-07-24,Product_A,North,59,123
2023-07-25,Product_A,North,113,146
2023-07-26,Product_A,North,106,177
2023-07-27,Product_A,North,115,142
2023-07-28,Product_A,North,100,127
2023-07-29,Product_A,North,66,102
2023-07-30,Product_A,North,61,100
2023-07-31,Product_A,North,83,149
2023-08-01,Product_A,North,124,124
2023-08-02,Product_A,North,106,130
2023-08-03,Product_A,North,99,137
2023-08-04,Product_A,North,59,140
2023-08-05,Product_A,North,67,100
2023-08-06,Product_A,North,64,101
2023-08-07,Product_A,North,91,125
2023-08-08,Product_A,North,100,151
2023-08-09,Product_A,North,117,140
2023-08-10,Product_A,North,70,157
2023-08-11,Product_A,North,75,141
2023-08-12,Product_A,North,76,105
2023-08-13,Product_A,North,78,150
2023-08-14,Product_A,North,110,127
2023-08-15,Product_A,North,95,161
2023-08-16,Product_A,North,83,149
2023-08-17,Product_A,North,88,138
2023-08-18,Product_A,North,67,84
2023-08-19,Product_A,North,48,83
2023-08-20,Product_A,North,67,102
2023-08-21,Product_A,North,105,144
2023-08-22,Product_A,North,78,143
2023-08-23,Product_A,North,87,134
2023-08-24,Product_A,North,88,141
2023-08-25,Product_A,North,71,134
2023-08-26,Product_A,North,57,103
2023-08-27,Product_A,North,98,110
2023-08-28,Product_A,North,97,121
2023-08-29,Product_A,North,97,132
2023-08-30,Product_A,North,88,121
2023-08-31,Product_A,North,90,109
2023-09-01,Product_A,North,81,132
2023-09-02,Product_A,North,71,95
2023-09-03,Product_A,North,74,98
2023-09-04,Product_A,North,89,89
2023-09-05,Product_A,North,83,91
2023-09-06,Product_A,North,69,161
2023-09-07,Product_A,North,94,110
2023-09-08,Product_A,North,56,56
2023-09-09,Product_A,North,61,148
2023-09-10,Product_A,North,73,91
2023-09-11,Product_A,North,82,85
2023-09-12,Product_A,North,82,131
2023-09-13,Product_A,North,87,148
2023-09-14,Product_A,North,86,136
2023-09-15,Product_A,North,64,125
2023-09-16,Product_A,North,81,81
2023-09-17,Product_A,North,58,128
2023-09-18,Product_A,North,74,143
2023-09-19,Product_A,North,79,157
2023-09-20,Product_A,North,89,136
2023-09-21,Product_A,North,100,115
2023-09-22,Product_A,North,61,98
2023-09-23,Product_A,North,69,69
2023-09-24,Product_A,North,73,90
2023-09-25,Product_A,North,89,89
2023-09-26,Product_A,North,75,94
2023-09-27,Product_A,North,76,136
2023-09-28,Product_A,North,79,116
2023-09-29,Product_A,North,69,111
2023-09-30,Product_A,North,55,111
2023-10-01,Product_A,North,74,108
2023-10-02,Product_A,North,82,120
2023-10-03,Product_A,North,111,126
2023-10-04,Product_A,North,83,116
2023-10-05,Product_A,North,68,97
2023-10-06,Product_A,North,61,105
2023-10-07,Product_A,North,68,98
2023-10-08,Product_A,North,59,119
2023-10-09,Product_A,North,85,111
2023-10-10,Product_A,North,77,139
2023-10-11,Product_A,North,90,102
2023-10-12,Product_A,North,81,128
2023-10-13,Product_A,North,62,111
2023-10-14,Product_A,North,51,125
2023-10-15,Product_A,North,80,97
2023-10-16,Product_A,North,81,81
2023-10-17,Product_A,North,71,123
2023-10-18,Product_A,North,74,147
2023-10-19,Product_A,North,107,107
2023-10-20,Product_A,North,63,113
2023-10-21,Product_A,North,82,82
2023-10-22,Product_A,North,71,139
2023-10-23,Product_A,North,58,91
2023-10-24,Product_A,North,82,121
2023-10-25,Product_A,North,101,140
2023-10-26,Product_A,North,61,136
2023-10-27,Product_A,North,67,136
2023-10-28,Product_A,North,61,88
2023-10-29,Product_A,North,75,120
2023-10-30,Product_A,North,85,85
2023-10-31,Product_A,North,96,113
2023-11-01,Product_A,North,95,109
2023-11-02,Product_A,North,91,112
2023-11-03,Product_A,North,60,127
2023-11-04,Product_A,North,71,91
2023-11-05,Product_A,North,87,98
2023-11-06,Product_A,North,81,127
2023-11-07,Product_A,North,82,146
2023-11-08,Product_A,North,86,132
2023-11-09,Product_A,North,105,110
2023-11-10,Product_A,North,49,147
2023-11-11,Product_A,North,97,97
2023-11-12,Product_A,North,52,103
2023-11-13,Product_A,North,79,121
2023-11-14,Product_A,North,77,151
2023-11-15,Product_A,North,103,114
2023-11-16,Product_A,North,99,175
2023-11-17,Product_A,North,81,112
2023-11-18,Product_A,North,71,121
2023-11-19,Product_A,North,55,116
2023-11-20,Product_A,North,80,165
2023-11-21,Product_A,North,93,177
2023-11-22,Product_A,North,82,160
2023-11-23,Product_A,North,96,121
2023-11-24,Product_A,North,83,146
2023-11-25,Product_A,North,71,78
2023-11-26,Product_A,North,77,98
2023-11-27,Product_A,North,83,130
2023-11-28,Product_A,North,73,116
2023-11-29,Product_A,North,109,142
2023-11-30,Product_A,North,58,158
2023-12-01,Product_A,North,87,111
2023-12-02,Product_A,North,61,132
2023-12-03,Product_A,North,84,167
2023-12-04,Product_A,North,96,144
2023-12-05,Product_A,North,99,169
2023-12-06,Product_A,North,115,182
2023-12-07,Product_A,North,90,138
2023-12-08,Product_A,North,80,145
2023-12-09,Product_A,North,97,109
2023-12-10,Product_A,North,77,130
2023-12-11,Product_A,North,90,159
2023-12-12,Product_A,North,69,141
2023-12-13,Product_A,North,95,116
2023-12-14,Product_A,North,86,133
2023-12-15,Product_A,North,86,156
2023-12-16,Product_A,North,79,102
2023-12-17,Product_A,North,84,148
2023-12-18,Product_A,North,82,127
2023-12-19,Product_A,North,117,158
2023-12-20,Product_A,North,123,167
2023-12-21,Product_A,North,115,136
2023-12-22,Product_A,North,92,134
2023-12-23,Product_A,North,69,95
2023-12-24,Product_A,North,96,124
2023-12-25,Product_A,North,84,148
2023-12-26,Product_A,North,131,131
2023-12-27,Product_A,North,89,155
2023-12-28,Product_A,North,131,167
2023-12-29,Product_A,North,106,120
2023-12-30,Product_A,North,72,140
2023-12-31,Product_A,North,91,147
2024-01-01,Product_A,North,100,160
2024-01-02,Product_A,North,118,189
2024-01-03,Product_A,North,133,146
2024-01-04,Product_A,North,73,187
2024-01-05,Product_A,North,115,126
2024-01-06,Product_A,North,64,137
2024-01-07,Product_A,North,106,176
2024-01-08,Product_A,North,114,152
2024-01-09,Product_A,North,103,179
2024-01-10,Product_A,North,117,164
2024-01-11,Product_A,North,150,207
2024-01-12,Product_A,North,118,133
2024-01-13,Product_A,North,104,151
2024-01-14,Product_A,North,102,169
2024-01-15,Product_A,North,119,179
2024-01-16,Product_A,North,134,191
2024-01-17,Product_A,North,92,191
2024-01-18,Product_A,North,108,151
2024-01-19,Product_A,North,130,190
2024-01-20,Product_A,North,114,148
2024-01-21,Product_A,North,119,148
2024-01-22,Product_A,North,116,147
2024-01-23,Product_A,North,133,190
2024-01-24,Product_A,North,104,194
2024-01-25,Product_A,North,119,217
2024-01-26,Product_A,North,121,160
2024-01-27,Product_A,North,101,147
2024-01-28,Product_A,North,98,130
2024-01-29,Product_A,North,112,158
2024-01-30,Product_A,North,105,204
2024-01-31,Product_A,North,141,164
2024-02-01,Product_A,North,122,206
2024-02-02,Product_A,North,126,184
2024-02-03,Product_A,North,100,133
2024-02-04,Product_A,North,87,162
2024-02-05,Product_A,North,124,203
2024-02-06,Product_A,North,154,196
2024-02-07,Product_A,North,110,198
2024-02-08,Product_A,North,131,186
2024-02-09,Product_A,North,102,172
2024-02-10,Product_A,North,94,141
2024-02-11,Product_A,North,111,151
2024-02-12,Product_A,North,125,186
2024-02-13,Product_A,North,112,193
2024-02-14,Product_A,North,169,185
2024-02-15,Product_A,North,88,157
2024-02-16,Product_A,North,114,171
2024-02-17,Product_A,North,102,181
2024-02-18,Product_A,North,64,170
2024-02-19,Product_A,North,151,161
2024-02-20,Product_A,North,129,191
2024-02-21,Product_A,North,122,206
2024-02-22,Product_A,North,160,234
2024-02-23,Product_A,North,110,212
2024-02-24,Product_A,North,106,194
2024-02-25,Product_A,North,108,167
2024-02-26,Product_A,North,131,251
2024-02-27,Product_A,North,157,195
2024-02-28,Product_A,North,164,208
2024-02-29,Product_A,North,124,219
2024-03-01,Product_A,North,118,182
2024-03-02,Product_A,North,108,168
2024-03-03,Product_A,North,118,128
2024-03-04,Product_A,North,139,170
2024-03-05,Product_A,North,111,211
2024-03-06,Product_A,North,147,204
2024-03-07,Product_A,North,152,176
2024-03-08,Product_A,North,111,167
2024-03-09,Product_A,North,108,169
2024-03-10,Product_A,North,95,183
2024-03-11,Product_A,North,129,154
2024-03-12,Product_A,North,101,214
2024-03-13,Product_A,North,142,218
2024-03-14,Product_A,North,136,209
2024-03-15,Product_A,North,137,158
2024-03-16,Product_A,North,90,143
2024-03-17,Product_A,North,118,195
2024-03-18,Product_A,North,120,143
2024-03-19,Product_A,North,107,199
2024-03-20,Product_A,North,135,214
2024-03-21,Product_A,North,138,200
2024-03-22,Product_A,North,140,167
2024-03-23,Product_A,North,96,175
2024-03-24,Product_A,North,88,179
2024-03-25,Product_A,North,131,191
2024-03-26,Product_A,North,179,204
2024-03-27,Product_A,North,194,218
2024-03-28,Product_A,North,111,208
2024-03-29,Product_A,North,101,167
2024-03-30,Product_A,North,117,177
2024-03-31,Product_A,North,103,191
2024-04-01,Product_A,North,152,223
2024-04-02,Product_A,North,156,244
2024-04-03,Product_A,North,106,217
2024-04-04,Product_A,North,120,209
2024-04-05,Product_A,North,111,178
2024-04-06,Product_A,North,142,162
2024-04-07,Product_A,North,121,167
2024-04-08,Product_A,North,131,194
2024-04-09,Product_A,North,154,240
2024-04-10,Product_A,North,185,229
2024-04-11,Product_A,North,150,184
2024-04-12,Product_A,North,119,200
2024-04-13,Product_A,North,124,170
2024-04-14,Product_A,North,129,181
2024-04-15,Product_A,North,152,199
2024-04-16,Product_A,North,136,223
2024-04-17,Product_A,North,82,229
2024-04-18,Product_A,North,62,171
2024-04-19,Product_A,North,128,190
2024-04-20,Product_A,North,90,150
2024-04-21,Product_A,North,136,160
2024-04-22,Product_A,North,171,192
2024-04-23,Product_A,North,152,247
2024-04-24,Product_A,North,149,200
2024-04-25,Product_A,North,134,203
2024-04-26,Product_A,North,95,174
2024-04-27,Product_A,North,96,181
2024-04-28,Product_A,North,113,163
2024-04-29,Product_A,North,125,195
2024-04-30,Product_A,North,155,192
2024-05-01,Product_A,North,122,240
2024-05-02,Product_A,North,126,173
2024-05-03,Product_A,North,126,186
2024-05-04,Product_A,North,82,166
2024-05-05,Product_A,North,123,174
2024-05-06,Product_A,North,137,160
2024-05-07,Product_A,North,147,204
2024-05-08,Product_A,North,133,232
2024-05-09,Product_A,North,162,235
2024-05-10,Product_A,North,139,172
2024-05-11,Product_A,North,111,174
2024-05-12,Product_A,North,111,166
2024-05-13,Product_A,North,139,184
2024-05-14,Product_A,North,122,198
2024-05-15,Product_A,North,154,211
2024-05-16,Product_A,North,137,209
2024-05-17,Product_A,North,108,187
2024-05-18,Product_A,North,110,131
2024-05-19,Product_A,North,130,151
2024-05-20,Product_A,North,91,161
2024-05-21,Product_A,North,114,204
2024-05-22,Product_A,North,132,201
2024-05-23,Product_A,North,140,199
2024-05-24,Product_A,North,117,176
2024-05-25,Product_A,North,111,111
2024-05-26,Product_A,North,99,114
2024-05-27,Product_A,North,119,178
2024-05-28,Product_A,North,153,222
2024-05-29,Product_A,North,139,193
2024-05-30,Product_A,North,134,178
2024-05-31,Product_A,North,110,184
2024-06-01,Product_A,North,91,166
2024-06-02,Product_A,North,113,135
2024-06-03,Product_A,North,133,188
2024-06-04,Product_A,North,131,179
2024-06-05,Product_A,North,115,188
2024-06-06,Product_A,North,132,165
2024-06-07,Product_A,North,114,136
2024-06-08,Product_A,North,94,149
2024-06-09,Product_A,North,137,137
2024-06-10,Product_A,North,138,173
2024-06-11,Product_A,North,134,192
2024-06-12,Product_A,North,138,191
2024-06-13,Product_A,North,146,170
2024-06-14,Product_A,North,122,144
2024-06-15,Product_A,North,94,121
2024-06-16,Product_A,North,104,176
2024-06-17,Product_A,North,109,162
2024-06-18,Product_A,North,102,180
2024-06-19,Product_A,North,96,170
2024-06-20,Product_A,North,120,201
2024-06-21,Product_A,North,145,145
2024-06-22,Product_A,North,112,144
2024-06-23,Product_A,North,93,152
2024-06-24,Product_A,North,108,164
2024-06-25,Product_A,North,112,152
2024-06-26,Product_A,North,94,197
2024-06-27,Product_A,North,108,158
2024-06-28,Product_A,North,99,164
2024-06-29,Product_A,North,92,122
2024-06-30,Product_A,North,110,170
2024-07-01,Product_A,North,112,176
2024-07-02,Product_A,North,138,197
2024-07-03,Product_A,North,130,190
2024-07-04,Product_A,North,118,143
2024-07-05,Product_A,North,106,117
2024-07-06,Product_A,North,77,157
2024-07-07,Product_A,North,101,165
2024-07-08,Product_A,North,97,129
2024-07-09,Product_A,North,109,171
2024-07-10,Product_A,North,116,196
2024-07-11,Product_A,North,101,167
2024-07-12,Product_A,North,79,149
2024-07-13,Product_A,North,85,112
2024-07-14,Product_A,North,84,127
2024-07-15,Product_A,North,94,183
2024-07-16,Product_A,North,108,159
2024-07-17,Product_A,North,76,150
2024-07-18,Product_A,North,99,141
2024-07-19,Product_A,North,109,132
2024-07-20,Product_A,North,98,124
2024-07-21,Product_A,North,85,125
2024-07-22,Product_A,North,95,178
2024-07-23,Product_A,North,69,119
2024-07-24,Product_A,North,99,163
2024-07-25,Product_A,North,111,160
2024-07-26,Product_A,North,82,152
2024-07-27,Product_A,North,92,123
2024-07-28,Product_A,North,94,129
2024-07-29,Product_A,North,85,153
2024-07-30,Product_A,North,105,155
2024-07-31,Product_A,North,129,129
2024-08-01,Product_A,North,76,122
2024-08-02,Product_A,North,80,123
2024-08-03,Product_A,North,60,96
2024-08-04,Product_A,North,69,169
2024-08-05,Product_A,North,114,127
2024-08-06,Product_A,North,95,127
2024-08-07,Product_A,North,73,151
2024-08-08,Product_A,North,80,140
2024-08-09,Product_A,North,63,109
2024-08-10,Product_A,North,77,120
2024-08-11,Product_A,North,82,90
2024-08-12,Product_A,North,99,115
2024-08-13,Product_A,North,107,146
2024-08-14,Product_A,North,79,143
2024-08-15,Product_A,North,97,151
2024-08-16,Product_A,North,79,152
2024-08-17,Product_A,North,84,105
2024-08-18,Product_A,North,84,152
2024-08-19,Product_A,North,110,110
2024-08-20,Product_A,North,82,172
2024-08-21,Product_A,North,82,120
2024-08-22,Product_A,North,83,144
2024-08-23,Product_A,North,77,105
2024-08-24,Product_A,North,64,93
2024-08-25,Product_A,North,64,157
2024-08-26,Product_A,North,87,143
2024-08-27,Product_A,North,86,136
2024-08-28,Product_A,North,85,90
2024-08-29,Product_A,North,70,96
2024-08-30,Product_A,North,51,92
2024-08-31,Product_A,North,84,105
2024-09-01,Product_A,North,86,117
2024-09-02,Product_A,North,91,105
2024-09-03,Product_A,North,98,152
2024-09-04,Product_A,North,85,152
2024-09-05,Product_A,North,94,119
2024-09-06,Product_A,North,63,90
2024-09-07,Product_A,North,70,110
2024-09-08,Product_A,North,63,108
2024-09-09,Product_A,North,88,134
2024-09-10,Product_A,North,111,161
2024-09-11,Product_A,North,78,172
2024-09-12,Product_A,North,79,149
2024-09-13,Product_A,North,76,104
2024-09-14,Product_A,North,50,99
2024-09-15,Product_A,North,54,125
2024-09-16,Product_A,North,98,104
2024-09-17,Product_A,North,93,119
2024-09-18,Product_A,North,83,153
2024-09-19,Product_A,North,84,162
2024-09-20,Product_A,North,69,132
2024-09-21,Product_A,North,69,118
2024-09-22,Product_A,North,65,104
2024-09-23,Product_A,North,78,102
2024-09-24,Product_A,North,97,146
2024-09-25,Product_A,North,99,167
2024-09-26,Product_A,North,103,119
2024-09-27,Product_A,North,78,99
2024-09-28,Product_A,North,68,89
2024-09-29,Product_A,North,87,112
2024-09-30,Product_A,North,77,143
2024-10-01,Product_A,North,60,93
2024-10-02,Product_A,North,102,138
2024-10-03,Product_A,North,88,100
2024-10-04,Product_A,North,74,151
2024-10-05,Product_A,North,76,105
2024-10-06,Product_A,North,65,97
2024-10-07,Product_A,North,54,124
2024-10-08,Product_A,North,100,102
2024-10-09,Product_A,North,82,114
2024-10-10,Product_A,North,72,129
2024-10-11,Product_A,North,51,124
2024-10-12,Product_A,North,76,97
2024-10-13,Product_A,North,44,86
2024-10-14,Product_A,North,95,95
2024-10-15,Product_A,North,85,111
2024-10-16,Product_A,North,103,125
2024-10-17,Product_A,North,91,140
2024-10-18,Product_A,North,96,109
2024-10-19,Product_A,North,73,74
2024-10-20,Product_A,North,84,92
2024-10-21,Product_A,North,74,121
2024-10-22,Product_A,North,69,141
2024-10-23,Product_A,North,107,146
2024-10-24,Product_A,North,66,128
2024-10-25,Product_A,North,85,85
2024-10-26,Product_A,North,59,123
2024-10-27,Product_A,North,75,117
2024-10-28,Product_A,North,106,133
2024-10-29,Product_A,North,102,193
2024-10-30,Product_A,North,92,127
2024-10-31,Product_A,North,94,142
2024-11-01,Product_A,North,72,97
2024-11-02,Product_A,North,96,114
2024-11-03,Product_A,North,66,130
2024-11-04,Product_A,North,83,121
2024-11-05,Product_A,North,102,116
2024-11-06,Product_A,North,102,184
2024-11-07,Product_A,North,97,129
2024-11-08,Product_A,North,74,112
2024-11-09,Product_A,North,70,102
2024-11-10,Product_A,North,86,86
2024-11-11,Product_A,North,97,122
2024-11-12,Product_A,North,102,123
2024-11-13,Product_A,North,120,175
2024-11-14,Product_A,North,106,109
2024-11-15,Product_A,North,92,131
2024-11-16,Product_A,North,57,112
2024-11-17,Product_A,North,82,128
2024-11-18,Product_A,North,91,139
2024-11-19,Product_A,North,122,174
2024-11-20,Product_A,North,58,148
2024-11-21,Product_A,North,93,109
2024-11-22,Product_A,North,85,151
2024-11-23,Product_A,North,64,123
2024-11-24,Product_A,North,69,107
2024-11-25,Product_A,North,112,126
2024-11-26,Product_A,North,110,116
2024-11-27,Product_A,North,135,171
2024-11-28,Product_A,North,96,159
2024-11-29,Product_A,North,68,154
2024-11-30,Product_A,North,76,115
2024-12-01,Product_A,North,76,113
2024-12-02,Product_A,North,104,146
2024-12-03,Product_A,North,116,158
2024-12-04,Product_A,North,117,155
2024-12-05,Product_A,North,136,136
2024-12-06,Product_A,North,106,162
2024-12-07,Product_A,North,71,168
2024-12-08,Product_A,North,98,148
2024-12-09,Product_A,North,97,141
2024-12-10,Product_A,North,106,172
2024-12-11,Product_A,North,136,172
2024-12-12,Product_A,North,90,174
2024-12-13,Product_A,North,105,152
2024-12-14,Product_A,North,94,122
2024-12-15,Product_A,North,76,115
2024-12-16,Product_A,North,76,155
2024-12-17,Product_A,North,111,160
2024-12-18,Product_A,North,64,149
2024-12-19,Product_A,North,127,149
2024-12-20,Product_A,North,101,116
2024-12-21,Product_A,North,106,129
2024-12-22,Product_A,North,95,183
2024-12-23,Product_A,North,127,149
2024-12-24,Product_A,North,106,168
2024-12-25,Product_A,North,129,178
2024-12-26,Product_A,North,105,197
2024-12-27,Product_A,North,97,194
2024-12-28,Product_A,North,92,171
2024-12-29,Product_A,North,99,160
2024-12-30,Product_A,North,95,143
2023-01-01,Product_A,South,84,111
2023-01-02,Product_A,South,67,99
2023-01-03,Product_A,South,74,106
2023-01-04,Product_A,South,98,168
2023-01-05,Product_A,South,90,91
2023-01-06,Product_A,South,77,116
2023-01-07,Product_A,South,96,96
2023-01-08,Product_A,South,71,148
2023-01-09,Product_A,South,92,141
2023-01-10,Product_A,South,98,152
2023-01-11,Product_A,South,111,134
2023-01-12,Product_A,South,105,112
2023-01-13,Product_A,South,86,127
2023-01-14,Product_A,South,68,112
2023-01-15,Product_A,South,71,96
2023-01-16,Product_A,South,84,111
2023-01-17,Product_A,South,104,127
2023-01-18,Product_A,South,114,131
2023-01-19,Product_A,South,88,131
2023-01-20,Product_A,South,101,133
2023-01-21,Product_A,South,75,126
2023-01-22,Product_A,South,55,120
2023-01-23,Product_A,South,119,140
2023-01-24,Product_A,South,103,165
2023-01-25,Product_A,South,120,120
2023-01-26,Product_A,South,73,152
2023-01-27,Product_A,South,77,156
2023-01-28,Product_A,South,75,80
2023-01-29,Product_A,South,67,69
2023-01-30,Product_A,South,90,137
2023-01-31,Product_A,South,98,179
2023-02-01,Product_A,South,128,159
2023-02-02,Product_A,South,68,164
2023-02-03,Product_A,South,96,139
2023-02-04,Product_A,South,93,99
2023-02-05,Product_A,South,110,110
2023-02-06,Product_A,South,107,110
2023-02-07,Product_A,South,92,192
2023-02-08,Product_A,South,106,183
2023-02-09,Product_A,South,107,153
2023-02-10,Product_A,South,109,131
2023-02-11,Product_A,South,61,109
2023-02-12,Product_A,South,93,137
2023-02-13,Product_A,South,75,132
2023-02-14,Product_A,South,100,157
